restaurant_name,city,cuisines,average_cost_for_two,aggregate_rating,votes
The National,Athens,"International, Southern",40,4.1,465
The Royal Peasant,Athens,Bar Food,10,4.4,546
Transmetropolitan,Athens,"Italian, Pizza, Sandwich",10,4.4,1098
Trappeze Pub,Athens,"Burger, Bar Food",25,4.2,579
Viva! Argentine Cuisine,Athens,"Desserts, Latin American, Argentine",10,4.1,374
Miyabi Kyoto Japanese Steak House,Augusta,"Chinese, Steak",40,4.6,717
Rae'S Coastal Cafe,Augusta,"American, Caribbean, Seafood",40,4.9,548
The Bee'S Knees,Augusta,"International, Tapas, Vegetarian",25,4.5,631
Boll Weevil Cafe,Augusta,"Desserts, Sandwich, Southern",10,3.9,372
Farmhaus Burger,Augusta,"American, Burger",25,3.9,201
Manuel'S Bread Cafe,Augusta,"Breakfast, French",40,3.8,332
Sconyers Bar B Que,Augusta,BBQ,25,3.5,304
Frog Hollow Tavern,Augusta,American,40,4.3,368
Giuseppe'S Pizza & Italian Specialities,Augusta,"Desserts, Italian, Pizza",25,4.1,430
Mellow Mushroom,Augusta,"Italian, Pizza, Sandwich",25,4.4,433
Nacho Mamas Burritos,Augusta,Mexican,10,4.0,380
Rhinehart'S Oyster Bar,Augusta,"Bar Food, Sandwich, Seafood",25,4.0,456
Takosushi,Augusta,"Mexican, Southwestern, Sushi",40,4.2,647
The Chop House,Augusta,Steak,40,4.0,360
The Taj Of India,Augusta,Indian,25,4.0,227
Augsburg Haus,Augusta,German,25,3.9,290
Pho Bac,Augusta,Vietnamese,10,4.1,270
Rhinehart'S Oyster Bar,Augusta,"Burger, Seafood",25,4.0,326
Thai Kitchen,Augusta,Thai,35,4.3,317
El Kiosco Mexican Restaurant,Augusta,Mexican,10,4.2,300
Taste Of Balingup,Balingup,Modern Australian,20,3.2,21
Bridge Road Brewers,Beechworth,"Pizza, Bar Food",20,4.6,237
Bardenay,Boise,"American, Bar Food",25,4.5,879
Flatbread Neapolitan Pizzeria,Boise,"Italian, Pizza",25,4.6,615
Goldy'S Breakfast Bistro,Boise,"Breakfast, Sandwich",25,4.5,879
Chandlers Steakhouse,Boise,"American, Seafood, Steak",70,3.9,379
Bar Gernika Basque Pub & Eatery,Boise,"European, Spanish",10,4.3,303
Barbacoa Restaurant,Boise,"Latin American, Steak",70,4.1,538
Big Jud'S,Boise,"American, Burger, Sandwich",10,4.2,334
Bittercreek Ale House,Boise,"American, Bar Food",25,4.3,555
Boise Fry Company,Boise,"American, Burger",10,4.4,823
Flying Pie Pizzaria,Boise,Pizza,25,4.1,550
Fork,Boise,"American, Burger",25,4.4,650
Guido'S Original New York Style Pizza,Boise,Pizza,10,4.3,410
Los Beto'S,Boise,Mexican,10,4.4,660
Lucianos Italian Restaurant,Boise,"Italian, Seafood, Vegetarian",25,4.4,360
Mai Thai Restaurant,Boise,"Sushi, Thai",40,4.0,340
Shige Japanese Cuisine,Boise,"Japanese, Sushi, Teriyaki",25,4.1,393
The Egg Factory,Boise,Breakfast,10,4.3,422
Tucanos,Boise,Brazilian,40,4.0,435
Texas Roadhouse,Boise,"American, BBQ, Steak",25,4.0,369
Brick 29,Boise,American,40,4.4,487
Winifreds,Cedar Rapids/Iowa City,"American, Mediterranean, Seafood",40,3.7,98
Biaggi'S Ristorante Italiano,Cedar Rapids/Iowa City,"Italian, Pizza",40,4.1,365
El Super Burrito,Cedar Rapids/Iowa City,Mexican,10,4.1,190
Granite City Food & Brewery,Cedar Rapids/Iowa City,"American, Breakfast, Burger",40,4.1,429
Irish Democrat,Cedar Rapids/Iowa City,"American, BBQ, Burger",25,4.4,430
Taste Of India,Cedar Rapids/Iowa City,Indian,25,4.2,186
Thai Moon Restaurant,Cedar Rapids/Iowa City,"Chinese, Sushi, Thai",10,4.2,220
Ting'S Red Lantern,Cedar Rapids/Iowa City,Chinese,10,4.2,347
Monica'S,Cedar Rapids/Iowa City,"American, Italian, Pizza",25,3.8,161
Exotic India,Cedar Rapids/Iowa City,Indian,25,4.1,160
Shorts Burger And Shine,Cedar Rapids/Iowa City,Burger,10,4.9,820
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,"American, Breakfast, Burger",10,4.5,488
Bluebird Diner,Cedar Rapids/Iowa City,"Breakfast, Diner",25,3.6,253
Graze,Cedar Rapids/Iowa City,"American, International, Sushi",40,3.8,220
A & A Pagliai'S Pizza,Cedar Rapids/Iowa City,Pizza,25,4.3,485
Atlas World Grill,Cedar Rapids/Iowa City,International,40,4.3,428
Blackstone,Cedar Rapids/Iowa City,"American, Breakfast",25,4.1,294
Devotay,Cedar Rapids/Iowa City,"Mediterranean, Tapas, Vegetarian",40,4.0,380
Jimmy Jack'S Rib Shack,Cedar Rapids/Iowa City,BBQ,25,4.2,259
Zoeys Pizzeria,Cedar Rapids/Iowa City,"Pizza, Sandwich",25,4.7,433
Tokyo Sushi,Chatham-Kent,"Japanese, Sushi",25,3.7,176
Berry Patch Restaurant,Clatskanie,"American, Breakfast, Desserts",10,4.3,96
Sakura Sushi & Grill,Cochrane,"Asian, Japanese",25,3.1,6
Uptown Vietnam Cuisine,Columbus,"Asian, Vietnamese",10,3.3,33
Cafe Le Rue @ The Landings,Columbus,"American, Seafood, Cajun",25,4.6,489
Mark'S City Grille,Columbus,American,25,4.5,345
B Merrell'S,Columbus,"Burger, Bar Food, Southern",25,3.8,149
Cannon Brewpub,Columbus,"Pizza, Bar Food",25,3.9,330
Fuji Japanese Steak House,Columbus,"Japanese, Steak",40,3.9,247
Ruth Ann'S Family Restaurant,Columbus,"Breakfast, Diner, Southern",10,3.7,123
Samurai Japanese Cuisine & Sushi Bar,Columbus,"Japanese, Steak, Sushi",40,3.6,109
Wasabi Sushi And Thai,Columbus,"Japanese, Sushi, Thai",40,3.7,134
Buckhead Bar And Grill,Columbus,"Seafood, Steak, Vegetarian",40,4.2,722
Burt'S Butcher Shoppe And Eatery,Columbus,Steak,25,4.3,213
Chef Lee'S Peking Restaurant,Columbus,Chinese,25,4.0,335
Country'S Barbecue,Columbus,"BBQ, Southern",25,4.0,353
Deorio'S,Columbus,"Italian, Pizza",0,4.0,170
Mellow Mushroom,Columbus,Pizza,25,4.1,192
Meritage,Columbus,"American, Tapas",40,4.1,302
Mongo The Mongolian Fire Pit,Columbus,"Asian, Chinese",10,4.2,355
The Black Cow,Columbus,American,25,4.3,287
Wood Stone,Columbus,"Italian, Mediterranean, Pizza",40,4.0,264
Hunter'S Pub,Columbus,"American, Seafood, Steak",40,4.4,235
Consort Restaurant,Consort,"Chinese, Canadian",25,3.0,6
Thatcher'S Barbeque And Grill,Dalton,"American, BBQ, Southern",25,3.7,38
Christian And Jake'S Bistro,Dalton,"Desserts, Sandwich",10,4.4,122
Dub'S High On The Hog,Dalton,BBQ,25,4.4,207
Sierra'S Mexican Restaurant,Dalton,"Mexican, Tex-Mex",10,3.9,66
Oakwood Cafe,Dalton,"BBQ, Breakfast, Southern",10,4.9,249
Chili'S Grill & Bar,Dalton,American,25,3.8,63
Fuji Japanese Steakhouse,Dalton,"Japanese, Sushi",40,3.8,145
Las Palmas,Dalton,Mexican,10,3.8,83
Tony'S Italian Restaurant & Pizza,Dalton,Italian,25,3.7,116
Filling Station,Dalton,"American, Burger",10,4.1,122
Five Guys Burgers And Fries,Dalton,Fast Food,10,4.1,142
Los Pablos,Dalton,Mexican,10,4.1,114
Kobe Hibachi & Sushi,Dalton,"American, Japanese, Sushi",25,4.6,214
Soho Hibachi,Dalton,Japanese,10,4.3,116
Thai Garden,Dalton,Thai,25,4.2,111
Southern Bliss Bakery,Dalton,"Desserts, Sandwich",10,3.7,25
Bailey'S Bar-B-Que,Dalton,BBQ,10,4.1,128
Farm To Fork,Dalton,"American, Diner, Southern",10,4.3,244
Home Plate Grill,Dalton,"American, BBQ, Southern",10,4.2,112
Pie Slingers Pizzeria,Dalton,"Italian, Pizza",10,4.1,144
Olive Tree Cafe,Davenport,"Indian, Mediterranean, Middle Eastern",25,4.6,166
"Red Ginger Sushi, Grill & Bar",Davenport,"Sushi, Teriyaki",40,4.5,208
Crust Stone Oven Pizza,Davenport,"Burger, Pizza",25,3.9,136
Jimmy'S Pancake House,Davenport,"American, Breakfast, Greek",10,4.0,85
Trattoria Tiramisu,Davenport,Italian,25,4.1,117
Prairie Grille At Steeplegate Inn,Davenport,"American, Breakfast",25,3.4,53
Tantra Asian Bistro,Davenport,Asian,25,4.9,474
Chick-Fil-A,Davenport,Fast Food,10,3.9,125
Duck City Bistro,Davenport,"American, French",70,3.7,201
Frick'S Tap,Davenport,"American, Bar Food, BBQ",25,0.0,2
Los Agaves,Davenport,Mexican,25,0.0,3
Azteca,Davenport,Mexican,0,4.3,167
China Cafe,Davenport,Chinese,25,4.0,112
Exotic Thai Restaurant,Davenport,Thai,25,4.1,256
Front Street Brewery,Davenport,American,10,4.3,123
Granite City Food & Brewery,Davenport,American,25,4.0,199
Los Agaves,Davenport,Mexican,25,4.1,157
Machine Shed Restaurant,Davenport,American,25,4.1,100
Osaka,Davenport,"Japanese, Sushi",40,4.2,141
Texas Roadhouse,Davenport,"American, BBQ, Steak",25,4.2,197
Hickory Park,Des Moines,"BBQ, Burger, Desserts",25,4.5,1025
The Cafe,Des Moines,"American, Coffee and Tea",25,4.9,570
Flying Mango,Des Moines,"BBQ, Caribbean, Cajun",40,4.5,674
Cool Basil,Des Moines,"Asian, Sushi, Thai",25,4.1,496
Huhot Mongolian Grill,Des Moines,"Asian, Chinese",25,4.0,411
Malo,Des Moines,"Latin American, Mexican",25,3.2,113
Centro,Des Moines,"Italian, Pizza",40,4.5,1109
Fong'S Pizza,Des Moines,"Chinese, Pizza",25,4.6,728
A Dong Restaurant,Des Moines,"Asian, Vegetarian, Vietnamese, Bubble Tea",10,4.4,659
Court Avenue Brewing Company,Des Moines,"American, Pizza, Bar Food",40,4.2,370
Django,Des Moines,French,40,4.3,532
Miyabi 9,Des Moines,"Japanese, Sushi",25,4.8,860
Zombie Burger + Drink Lab,Des Moines,"Burger, Desserts, Vegetarian",10,4.2,943
Tursi'S Latin King,Des Moines,"American, Italian",70,4.1,476
Tsing Tsao South,Des Moines,Chinese,10,4.1,218
Bandit Burrito,Des Moines,"Breakfast, Mexican, Southwestern",10,4.0,214
Jethro'S Bbq,Des Moines,"American, BBQ",25,4.3,699
The Machine Shed Restaurant,Des Moines,"American, Breakfast",25,3.8,308
Mi Patria,Des Moines,Latin American,25,4.0,157
Waterfront Seafood Market,Des Moines,"Seafood, Sushi",40,4.2,530
The Giggling Goat,Dicky Beach,"Coffee and Tea, Tea, Modern Australian",7,3.6,29
Burnt Toast Cafe,Dubuque,Breakfast,10,3.4,33
Catfish Charlie'S,Dubuque,Seafood,25,3.3,40
Salsa'S Mexican Restaurant,Dubuque,Mexican,10,3.4,153
Tony Roma'S,Dubuque,"American, BBQ, Seafood",25,3.3,65
Vinny Vanucchi'S,Dubuque,Italian,25,3.4,58
Champps Americana,Dubuque,"American, Burger, Sandwich",25,3.5,100
Fiesta Cancun,Dubuque,Mexican,10,3.6,156
Happy Joe'S Pizza & Ice Cream,Dubuque,"Desserts, Pizza, Ice Cream",0,3.5,74
Houlihan'S,Dubuque,"American, Burger",25,3.6,117
Ichiban Hibachi Steakhouse & Sushi Bar,Dubuque,"Japanese, Steak, Sushi",40,3.7,83
Kalmes Breaktime Bar & Grill,Dubuque,"American, Burger",25,3.6,48
L. May Eatery,Dubuque,"International, Pizza",40,3.8,198
Los Aztecas,Dubuque,Mexican,10,3.5,126
Manna Java World Cafe,Dubuque,"Breakfast, Pizza",10,3.5,119
Mario'S Italian Restaurant,Dubuque,"American, Italian",25,3.6,140
Pepper Sprout Incorporated,Dubuque,American,40,3.6,159
Shot Tower Inn,Dubuque,"Italian, Pizza",25,3.6,131
Sunshine Family Restaurant,Dubuque,"American, Breakfast, Burger",10,3.5,60
Watershed Cafe,Dubuque,"American, Burger, Pizza, Cafe",25,3.7,89
Woodfire Grille,Dubuque,"American, Seafood, Steak",70,3.6,72
The Belle General,East Ballina,Cafe,20,4.1,56
Jehova Es Mi Pastor Tacos Y Burritos,Fernley,Mexican,10,3.7,83
Flaxton Gardens,Flaxton,"Tea, Modern Australian",30,3.5,37
Bespoke Harvest,Forrest,"Cafe, Australian",20,3.7,29
Houndstooth Grill & Tavern,Gainesville,"American, Sandwich, Seafood",25,4.4,239
Hawg Wild Bbq & Catfish House,Gainesville,"BBQ, Burger, Seafood",10,4.1,235
Bourbon Street Grille,Gainesville,"American, Burger, Cajun",25,3.8,88
Corkscrew Cafe,Gainesville,Not Specified,40,3.9,209
Smokin Gold Bbq,Gainesville,BBQ,10,3.9,133
Hoka-Hoka Japanese Steak & Sushi,Gainesville,"Chinese, Japanese, Thai",10,4.4,267
Shenanigan'S Irish Pub,Gainesville,"Bar Food, Seafood, Vegetarian",25,4.1,171
Fish Tales Lakeside Grille,Gainesville,Seafood,25,3.8,107
Antebellum,Gainesville,"American, Southern",40,4.3,164
Moonie'S Texas Barbecue,Gainesville,"BBQ, Sandwich",10,4.1,182
Atlanta Highway Seafood Market,Gainesville,"Sandwich, Seafood, Cajun",25,4.9,681
Eat At Thai,Gainesville,Thai,10,4.6,357
Smoke House Bbq And Catering,Gainesville,BBQ,25,3.8,89
2 Dog,Gainesville,"American, European, Sandwich",25,4.2,350
Longstreet Cafe,Gainesville,Southern,10,4.3,298
Re-Cess,Gainesville,"American, Southern",25,4.2,319
Bodensee,Gainesville,German,40,3.8,114
Hofer'S Bakery & Cafe,Gainesville,"German, Ice Cream",10,3.9,136
Troll Tavern,Gainesville,"Burger, German, Sandwich",25,2.2,108
The Nacoochee Village Tavern & Pizzeria,Gainesville,"Italian, Pizza, Sandwich",10,4.0,161
Blue Bean Love Cafe,Hepburn Springs,"Cafe, Coffee and Tea, Modern Australian",20,3.8,192
La Trattoria Of Lavandula,Hepburn Springs,"Italian, Fusion, Cafe",7,3.8,93
5 Little Pigs,Huskisson,"Breakfast, Modern Australian",20,4.1,40
Beach Box Cafe,Inverloch,"Burger, Coffee and Tea, Modern Australian",7,3.7,100
Funkey Monkey,Lakes Entrance,"Breakfast, Coffee and Tea",7,3.8,97
Burger Queen Drive In,Lakeview,"Burger, Desserts, Sandwich",10,3.6,41
Blue Orchid Thai Restaurant,Lincoln,Thai,25,4.5,799
Stillwater On Belmore,Lorn,"Breakfast, Coffee and Tea",20,3.6,18
Mr.,Macedon,Cafe,20,3.5,31
Emilio'S Cuban Cafe,Macon,"Coffee and Tea, Cuban, Latin American",25,3.9,146
Ingleside Village Pizza,Macon,"Pizza, Sandwich",10,4.9,478
Jim Shaw'S Seafood Grill & Bar,Macon,Seafood,25,4.6,467
Mandarin Chinese Restaurant,Macon,"Chinese, Thai",25,4.5,302
Rookery,Macon,"Burger, Desserts, Bar Food",25,4.5,289
Dovetail,Macon,Not Specified,40,3.8,102
Bonefish Grill,Macon,"American, Seafood",40,4.1,293
Downtown Grill,Macon,Steak,70,4.0,195
Greek Corner Deli,Macon,"Desserts, Greek, Sandwich",10,4.3,244
Natalia'S,Macon,"European, Italian, Mediterranean",70,4.2,379
Papouli'S Mediterranean Cafe & Market,Macon,"Greek, Mediterranean, Vegetarian",10,4.2,223
Benson'S Steak And Sushi,Macon,"American, Chinese, Sushi",25,3.7,243
My Fathers Place,Macon,Italian,25,3.7,104
Sushi Thai Restaurant,Macon,"Japanese, Sushi, Thai",10,3.7,153
The Mellow Mushroom,Macon,"Pizza, Sandwich, Vegetarian",25,3.8,323
El Jalisciense Mexican Restaurant,Macon,Mexican,10,4.1,181
Greek Village,Macon,"American, Greek, Seafood",25,4.0,316
Martin'S Bbq,Macon,BBQ,25,4.2,288
Thai Pepper,Macon,"Japanese, Sushi, Thai",10,4.0,232
Zen Japanese Steakhouse And Sushi Bar,Macon,"Japanese, Steak, Sushi",40,4.1,314
Star Buffet,Mayfield,Asian,20,2.9,11
Triangle Restaurant,Mc Millan,"Breakfast, Burger",10,2.4,17
Three Anchors,Middleton Beach,"Bar Food, Modern Australian",30,3.8,176
Hi Lite Bar & Lounge,Miller,Not Specified,0,3.4,11
Vince'S Restaurant & Pizzeria,Monroe,"Italian, Pizza",25,3.6,65
Poets Cafe,Montville,"Coffee and Tea, Modern Australian",30,2.4,193
The Artesian Restaurant,Ojo Caliente,"American, International, Southwestern",40,3.6,30
Cevн_Che Tapas Bar & Restaurant,Orlando,"Spanish, Tapas",40,4.4,981
'Ohana,Orlando,Hawaiian,45,4.5,1151
Earl Of Sandwich,Orlando,"American, Sandwich, Salad",35,4.7,1341
Raglan Road Irish Pub And Restaurant,Orlando,Irish,50,4.3,782
Cafн© Tu Tu Tango,Orlando,"New American, Tapas",40,4.6,1293
Texas De Brazil,Orlando,"Brazilian, Steak",100,4.6,2324
Bahama Breeze Island Grille,Orlando,Caribbean,45,4.3,910
Maggiano'S Little Italy,Orlando,Italian,50,4.4,886
Hawkers Asian Street Fare,Orlando,"Asian, Thai",35,4.6,1293
Tako Cheena By Pom Pom,Orlando,"Asian, Latin American, Vegetarian",10,4.4,570
Seasons 52 Fresh Grill,Orlando,American,60,4.4,1685
Hollerbach'S Willow Tree Cafн©,Orlando,German,40,4.8,1699
Pom Pom'S Teahouse And Sandwicheria,Orlando,"American, Sandwich, Tea",25,4.9,1457
Yellow Dog Eats,Orlando,"American, BBQ, Sandwich",35,4.9,1252
Tibby'S New Orleans Kitchen,Orlando,Cajun,25,4.7,1412
The Coop,Orlando,"Southern, Cajun, Soul Food",25,3.6,432
Bosphorous Turkish Cuisine,Orlando,"Mediterranean, Turkish",40,4.2,568
Ethos Vegan Kitchen,Orlando,"American, Breakfast, Vegetarian",25,4.4,797
Hillstone,Orlando,Not Specified,40,4.4,1158
The Ravenous Pig,Orlando,Pub Food,40,4.4,1998
Vivo Bar And Grill,Palm Cove,"Mediterranean, Seafood",30,4.4,381
Pier 70,Paynesville,Modern Australian,120,2.6,16
Divine,Penola,"Cafe, Coffee and Tea, Sandwich",20,3.4,19
Cactus Flower Cafe Navarre,Pensacola,"Mexican, Southwestern, Tex-Mex",25,4.2,635
Mcguire'S Irish Pub & Brewery,Pensacola,"Burger, Bar Food, Steak",40,4.9,2238
New Yorker Deli & Pizzeria,Pensacola,"Italian, Pizza, Sandwich",10,4.6,792
Tu-Do Vietnamese Restaurant,Pensacola,"Asian, Vietnamese",10,4.5,828
Carrabba'S Italian Grill,Pensacola,"Italian, Pizza, Seafood",40,3.7,292
Jaco'S Bayfront Bar And Grille,Pensacola,Tapas,25,3.9,502
The Tin Cow,Pensacola,"Burger, Bar Food",25,3.7,559
Cactus Flower Cafe,Pensacola,"Latin American, Mexican, Southwestern",25,4.2,1268
Dharma Blue,Pensacola,"Seafood, Sushi",40,4.1,669
Global Grill,Pensacola,"European, International, Tapas",40,4.4,900
Ichiban,Pensacola,"Japanese, Sushi",25,4.3,765
The Fish House,Pensacola,"American, Seafood, Sushi",40,4.0,1270
Tuscan Oven,Pensacola,"Italian, Mediterranean, Pizza",25,4.1,502
Flounders Chowder House,Pensacola,Seafood,40,3.9,724
Hemingway'S Island Grill,Pensacola,"Caribbean, Seafood, Steak",40,3.5,479
Native Cafe,Pensacola,"Breakfast, Burger",25,4.2,591
Peg Leg Pete'S,Pensacola,"Burger, Sandwich, Seafood",40,4.4,1408
